ID	Clone_ID	population	replicate	Block	infection_status	pop_age	GFP_pos	GFP_neg	Total	fitness_ln(w)	treatment									
63	SK-16-13	SK-16	1	C	uninfected	19.5	62	30	92	-0.725937003	No									
147	SK-16-13	SK-16	2	G	uninfected	19.5	60	22	82	-1.003302109	No									
75	SK-16-14	SK-16	1	D	uninfected	19.5	88	0	88	-4.48863637	No									
159	SK-16-14	SK-16	2	H	uninfected	19.5	82	0	82	-4.418840608	No									
39	SK-16-2	SK-16	1	B	uninfected	19.5	63	31	94	-0.709147522	No									
123	SK-16-2	SK-16	2	F	uninfected	19.5	51	30	81	-0.530628251	No									
15	SK-16-3	SK-16	1	A	uninfected	19.5	61	21	82	-1.066351426	No									
99	SK-16-3	SK-16	2	E	uninfected	19.5	60	21	81	-1.049822124	No									
51	SK-16-6	SK-16	1	C	uninfected	19.5	67	15	82	-1.496642418	No									
135	SK-16-6	SK-16	2	G	uninfected	19.5	79	3	82	-3.270835564	No									
29	SK-58-1	SK-58	1	B	infected	31	49	35	84	-0.336472237	No									
113	SK-58-1	SK-58	2	F	infected	31	34	51	85	0.405465108	No									
41	SK-58-13	SK-58	1	B	infected	31	40	48	88	0.182321557	No									
125	SK-58-13	SK-58	2	F	infected	31	29	53	82	0.602996084	No									
5	SK-58-15	SK-58	1	A	infected	31	44	38	82	-0.146603474	No									
89	SK-58-15	SK-58	2	E	infected	31	39	43	82	0.09763847	No									
53	SK-58-16	SK-58	1	C	infected	31	53	28	81	-0.638087403	No									
137	SK-58-16	SK-58	2	G	infected	31	8	76	84	2.251291799	No									
17	SK-58-5	SK-58	1	A	infected	31	30	53	83	0.569094532	No									
101	SK-58-5	SK-58	2	E	infected	31	NA	NA	NA	NA	No									
77	SK-58-6	SK-58	1	D	infected	31	18	69	87	1.343734747	No									
161	SK-58-6	SK-58	2	H	infected	31	42	39	81	-0.074107972	No									
65	SK-58-9	SK-58	1	D	infected	31	60	29	89	-0.727048732	No									
149	SK-58-9	SK-58	2	H	infected	31	61	19	80	-1.166434885	No									
241	G-13-10	G-13	1	D	infected	5	83	3	86	-3.320228319	Ht									
325	G-13-10	G-13	2	H	infected	5	81	2	83	-3.701301974	Ht									
229	G-13-11	G-13	1	C	infected	5	65	24	89	-0.99633344	Ht									
313	G-13-11	G-13	2	G	infected	5	75	7	82	-2.371577964	Ht									
217	G-13-13	G-13	1	C	infected	5	15	72	87	1.568615918	Ht									
301	G-13-13	G-13	2	G	infected	5	17	64	81	1.325669739	Ht									
181	G-13-15	G-13	1	A	infected	5	78	3	81	-3.258096538	Ht									
265	G-13-15	G-13	2	E	infected	5	59	21	80	-1.033015006	Ht									
169	G-13-4	G-13	1	A	infected	5	58	24	82	-0.88238918	Ht									
253	G-13-4	G-13	2	E	infected	5	64	14	78	-1.519825754	Ht									
205	G-13-7	G-13	1	B	infected	5	52	29	81	-0.583947889	Ht									
289	G-13-7	G-13	2	F	infected	5	77	7	84	-2.397895273	Ht									
193	G-13-8	G-13	1	B	infected	5	77	8	85	-2.26436388	Ht									
277	G-13-8	G-13	2	F	infected	5	82	0	82	-4.418840608	Ht									
182	G-2-10	G-2	1	A	uninfected	7.5	83	8	91	-2.339399066	Ht									
266	G-2-10	G-2	2	E	uninfected	7.5	79	1	80	-4.369447852	Ht									
242	G-2-16	G-2	1	D	uninfected	7.5	74	10	84	-2.00148	Ht									
326	G-2-16	G-2	2	H	uninfected	7.5	81	3	84	-3.295836866	Ht									
230	G-2-19	G-2	1	C	uninfected	7.5	59	32	91	-0.611801541	Ht									
314	G-2-19	G-2	2	G	uninfected	7.5	81	2	83	-3.701301974	Ht									
218	G-2-2	G-2	1	C	uninfected	7.5	71	12	83	-1.777773227	Ht									
302	G-2-2	G-2	2	G	uninfected	7.5	80	3	83	-3.283414346	Ht									
194	G-2-3	G-2	1	B	uninfected	7.5	86	1	87	-4.454347296	Ht									
278	G-2-3	G-2	2	F	uninfected	7.5	70	12	82	-1.763588592	Ht									
206	G-2-4	G-2	1	B	uninfected	7.5	85	0	85	-4.454347296	Ht									
290	G-2-4	G-2	2	F	uninfected	7.5	73	9	82	-2.093234864	Ht									
170	G-2-7	G-2	1	A	uninfected	7.5	52	30	82	-0.550046337	Ht									
254	G-2-7	G-2	2	E	uninfected	7.5	24	57	81	0.864997437	Ht									
178	K-10-1	K-10	1	A	infected	15	73	8	81	-2.211017899	Ht									
262	K-10-1	K-10	2	E	infected	15	75	11	86	-1.919592841	Ht									
250	K-10-11	K-10	1	D	infected	15	79	3	82	-3.270835564	Ht									
334	K-10-11	K-10	2	H	infected	15	79	2	81	-3.676300672	Ht									
238	K-10-15	K-10	1	D	infected	15	60	23	83	-0.958850346	Ht									
322	K-10-15	K-10	2	H	infected	15	83	0	83	-4.430816799	Ht									
202	K-10-16	K-10	1	B	infected	15	78	5	83	-2.747270914	Ht									
286	K-10-16	K-10	2	F	infected	15	77	4	81	-2.957511061	Ht									
190	K-10-2	K-10	1	B	infected	15	85	2	87	-3.749504076	Ht									
274	K-10-2	K-10	2	F	infected	15	80	2	82	-3.688879454	Ht									
214	K-10-3	K-10	1	C	infected	15	26	55	81	0.749236647	Ht									
298	K-10-3	K-10	2	G	infected	15	39	43	82	0.09763847	Ht									
226	K-10-9	K-10	1	C	infected	15	35	49	84	0.336472237	Ht									
310	K-10-9	K-10	2	G	infected	15	64	19	83	-1.214444104	Ht									
213	LA-29-1	LA-29	1	C	uninfected	15	80	4	84	-2.995732274	Ht									
297	LA-29-1	LA-29	2	G	uninfected	15	83	1	84	-4.418840608	Ht									
249	LA-29-11	LA-29	1	D	uninfected	15	81	2	83	-3.701301974	Ht									
333	LA-29-11	LA-29	2	H	uninfected	15	84	0	84	-4.442651256	Ht									
189	LA-29-15	LA-29	1	A	uninfected	15	70	13	83	-1.683545885	Ht									
273	LA-29-15	LA-29	2	E	uninfected	15	65	18	83	-1.284015512	Ht									
237	LA-29-3	LA-29	1	D	uninfected	15	82	3	85	-3.308106959	Ht									
321	LA-29-3	LA-29	2	H	uninfected	15	80	0	80	-4.394449155	Ht									
225	LA-29-5	LA-29	1	C	uninfected	15	79	8	87	-2.290006311	Ht									
309	LA-29-5	LA-29	2	G	uninfected	15	80	2	82	-3.688879454	Ht									
177	LA-29-7	LA-29	1	A	uninfected	15	75	5	80	-2.708050201	Ht									
261	LA-29-7	LA-29	2	E	uninfected	15	79	4	83	-2.983153491	Ht									
201	LA-29-9	LA-29	1	B	uninfected	15	77	7	84	-2.397895273	Ht									
285	LA-29-9	LA-29	2	F	uninfected	15	80	0	80	-4.394449155	Ht									
215	M-64-1	M-64	1	C	uninfected	9	81	0	81	-4.406719247	Ht									
299	M-64-1	M-64	2	G	uninfected	9	79	2	81	-3.676300672	Ht									
191	M-64-12	M-64	1	B	uninfected	9	88	0	88	-4.48863637	Ht									
275	M-64-12	M-64	2	F	uninfected	9	81	0	81	-4.406719247	Ht									
251	M-64-13	M-64	1	D	uninfected	9	73	10	83	-1.987874348	Ht									
335	M-64-13	M-64	2	H	uninfected	9	68	13	81	-1.654558348	Ht									
179	M-64-15	M-64	1	A	uninfected	9	77	5	82	-2.734367509	Ht									
263	M-64-15	M-64	2	E	uninfected	9	83	1	84	-4.418840608	Ht									
203	M-64-2	M-64	1	B	uninfected	9	85	0	85	-4.454347296	Ht									
287	M-64-2	M-64	2	F	uninfected	9	81	0	81	-4.406719247	Ht									
227	M-64-5	M-64	1	C	uninfected	9	78	7	85	-2.410798678	Ht									
311	M-64-5	M-64	2	G	uninfected	9	81	1	82	-4.394449155	Ht									
239	M-64-6	M-64	1	D	uninfected	9	84	0	84	-4.442651256	Ht									
323	M-64-6	M-64	2	H	uninfected	9	80	1	81	-4.382026635	Ht									
212	N-27-10	N-27	1	C	infected	30.5	70	11	81	-1.850599969	Ht									
296	N-27-10	N-27	2	G	infected	30.5	72	11	83	-1.878770846	Ht									
248	N-27-15	N-27	1	D	infected	30.5	43	45	88	0.045462374	Ht									
332	N-27-15	N-27	2	H	infected	30.5	55	27	82	-0.711496319	Ht									
224	N-27-2	N-27	1	C	infected	30.5	41	47	88	0.136575535	Ht									
308	N-27-2	N-27	2	G	infected	30.5	77	7	84	-2.397895273	Ht									
236	N-27-4	N-27	1	D	infected	30.5	83	0	83	-4.430816799	Ht									
320	N-27-4	N-27	2	H	infected	30.5	83	0	83	-4.430816799	Ht									
176	N-27-5	N-27	1	A	infected	30.5	61	19	80	-1.166434885	Ht									
260	N-27-5	N-27	2	E	infected	30.5	63	22	85	-1.052092273	Ht									
188	N-27-6	N-27	1	A	infected	30.5	74	13	87	-1.739115736	Ht									
272	N-27-6	N-27	2	E	infected	30.5	76	11	87	-1.932838067	Ht									
200	N-27-7	N-27	1	B	infected	30.5	9	82	91	2.20949467	Ht									
284	N-27-7	N-27	2	F	infected	30.5	26	56	82	0.767255153	Ht									
247	N-41-1	N-41	1	D	uninfected	19.5	84	0	84	-4.442651256	Ht									
331	N-41-1	N-41	2	H	uninfected	19.5	80	1	81	-4.382026635	Ht									
235	N-41-10	N-41	1	D	uninfected	19.5	71	12	83	-1.777773227	Ht									
319	N-41-10	N-41	2	H	uninfected	19.5	82	0	82	-4.418840608	Ht									
175	N-41-2	N-41	1	A	uninfected	19.5	70	14	84	-1.609437912	Ht									
259	N-41-2	N-41	2	E	uninfected	19.5	77	4	81	-2.957511061	Ht									
211	N-41-3	N-41	1	C	uninfected	19.5	78	6	84	-2.564949357	Ht									
295	N-41-3	N-41	2	G	uninfected	19.5	84	3	87	-3.33220451	Ht									
199	N-41-4	N-41	1	B	uninfected	19.5	80	8	88	-2.302585093	Ht									
283	N-41-4	N-41	2	F	uninfected	19.5	79	5	84	-2.76000994	Ht									
187	N-41-5	N-41	1	A	uninfected	19.5	71	11	82	-1.864784604	Ht									
271	N-41-5	N-41	2	E	uninfected	19.5	67	14	81	-1.56563529	Ht									
223	N-41-9	N-41	1	C	uninfected	19.5	74	11	85	-1.90616982	Ht									
307	N-41-9	N-41	2	G	uninfected	19.5	79	2	81	-3.676300672	Ht									
234	N-62-1	N-62	1	D	infected	12.5	28	55	83	0.675128675	Ht									
318	N-62-1	N-62	2	H	infected	12.5	78	3	81	-3.258096538	Ht									
210	N-62-11	N-62	1	B	infected	12.5	58	24	82	-0.88238918	Ht									
294	N-62-11	N-62	2	F	infected	12.5	76	9	85	-2.133508763	Ht									
186	N-62-15	N-62	1	A	infected	12.5	54	29	83	-0.621688217	Ht									
270	N-62-15	N-62	2	E	infected	12.5	32	51	83	0.46608973	Ht									
222	N-62-3	N-62	1	C	infected	12.5	69	14	83	-1.595049175	Ht									
306	N-62-3	N-62	2	G	infected	12.5	62	19	81	-1.182695406	Ht									
174	N-62-5	N-62	1	A	infected	12.5	9	72	81	2.079441542	Ht									
258	N-62-5	N-62	2	E	infected	12.5	23	60	83	0.958850346	Ht									
246	N-62-6	N-62	1	D	infected	12.5	21	59	80	1.033015006	Ht									
330	N-62-6	N-62	2	H	infected	12.5	78	7	85	-2.410798678	Ht									
198	N-62-8	N-62	1	B	infected	12.5	56	31	87	-0.591364486	Ht									
282	N-62-8	N-62	2	F	infected	12.5	65	16	81	-1.401798548	Ht									
172	SK-1-11	SK-1	1	A	infected	30.5	60	22	82	-1.003302109	Ht									
256	SK-1-11	SK-1	2	E	infected	30.5	57	25	82	-0.824175443	Ht									
184	SK-1-14	SK-1	1	A	infected	30.5	51	30	81	-0.530628251	Ht									
268	SK-1-14	SK-1	2	E	infected	30.5	60	27	87	-0.798507696	Ht									
232	SK-1-3	SK-1	1	D	infected	30.5	45	36	81	-0.223143551	Ht									
316	SK-1-3	SK-1	2	H	infected	30.5	56	25	81	-0.806475866	Ht									
196	SK-1-4	SK-1	1	B	infected	30.5	75	15	90	-1.609437912	Ht									
280	SK-1-4	SK-1	2	F	infected	30.5	78	6	84	-2.564949357	Ht									
220	SK-1-5a	SK-1	1	C	infected	30.5	66	21	87	-1.145132304	Ht									
304	SK-1-5a	SK-1	2	G	infected	30.5	71	9	80	-2.0654553	Ht									
244	SK-1-6a	SK-1	1	D	infected	30.5	79	0	79	-4.369447852	Ht									
328	SK-1-6a	SK-1	2	H	infected	30.5	80	2	82	-3.688879454	Ht									
208	SK-1-7	SK-1	1	B	infected	30.5	42	46	88	0.090971778	Ht									
292	SK-1-7	SK-1	2	F	infected	30.5	66	20	86	-1.193922468	Ht									
195	SK-16-1	SK-16	1	B	uninfected	19.5	76	6	82	-2.538973871	Ht									
279	SK-16-1	SK-16	2	F	uninfected	19.5	82	0	82	-4.418840608	Ht									
171	SK-16-12	SK-16	1	A	uninfected	19.5	50	31	81	-0.478035801	Ht									
255	SK-16-12	SK-16	2	E	uninfected	19.5	72	9	81	-2.079441542	Ht									
231	SK-16-13	SK-16	1	C	uninfected	19.5	58	25	83	-0.841567186	Ht									
315	SK-16-13	SK-16	2	G	uninfected	19.5	70	11	81	-1.850599969	Ht									
243	SK-16-14	SK-16	1	D	uninfected	19.5	80	6	86	-2.590267165	Ht									
327	SK-16-14	SK-16	2	H	uninfected	19.5	79	4	83	-2.983153491	Ht									
207	SK-16-2	SK-16	1	B	uninfected	19.5	64	25	89	-0.940007258	Ht									
291	SK-16-2	SK-16	2	F	uninfected	19.5	83	1	84	-4.418840608	Ht									
183	SK-16-3	SK-16	1	A	uninfected	19.5	61	18	79	-1.220502106	Ht									
267	SK-16-3	SK-16	2	E	uninfected	19.5	74	7	81	-2.358154944	Ht									
219	SK-16-6	SK-16	1	C	uninfected	19.5	42	47	89	0.112477983	Ht									
303	SK-16-6	SK-16	2	G	uninfected	19.5	83	0	83	-4.430816799	Ht									
197	SK-58-1	SK-58	1	B	infected	31	86	2	88	-3.761200116	Ht									
281	SK-58-1	SK-58	2	F	infected	31	79	3	82	-3.270835564	Ht									
209	SK-58-13	SK-58	1	B	infected	31	54	31	85	-0.554996842	Ht									
293	SK-58-13	SK-58	2	F	infected	31	68	15	83	-1.511457504	Ht									
173	SK-58-15	SK-58	1	A	infected	31	69	11	80	-1.836211232	Ht									
257	SK-58-15	SK-58	2	E	infected	31	69	12	81	-1.749199855	Ht									
221	SK-58-16	SK-58	1	C	infected	31	72	14	86	-1.637608789	Ht									
305	SK-58-16	SK-58	2	G	infected	31	79	5	84	-2.76000994	Ht									
185	SK-58-5	SK-58	1	A	infected	31	43	45	88	0.045462374	Ht									
269	SK-58-5	SK-58	2	E	infected	31	29	52	81	0.583947889	Ht									
245	SK-58-6	SK-58	1	D	infected	31	75	8	83	-2.238046572	Ht									
329	SK-58-6	SK-58	2	H	infected	31	76	6	82	-2.538973871	Ht									
233	SK-58-9	SK-58	1	D	infected	31	79	2	81	-3.676300672	Ht									
317	SK-58-9	SK-58	2	H	infected	31	74	3	77	-3.205452805	Ht									
