ID:	Clone_ID	population	replicate	infection_status	Pop_age	spores_per_ind	total_pop_size	spores_per_pop
34	K-10-16	K-10	1	infected	15.0	29125	121	3524125
118	K-10-16	K-10	2	infected	15.0	13971	104	1453029
202	K-10-16	K-10	3	infected	15.0	3900	115	448500
22	K-10-2	K-10	1	infected	15.0	29286	101	2957857
106	K-10-2	K-10	2	infected	15.0	11700	172	2012400
190	K-10-2	K-10	3	infected	15.0	3300	190	627000
46	K-10-3	K-10	1	infected	15.0	29813	159	4740188
130	K-10-3	K-10	2	infected	15.0	20077	102	2047846
214	K-10-3	K-10	3	infected	15.0	4800	188	902400
58	K-10-9	K-10	1	infected	15.0	14344	125	1792969
142	K-10-9	K-10	2	infected	15.0	28286	146	4129714
226	K-10-9	K-10	3	infected	15.0	6450	161	1038450
45	LA-29-1	LA-29	1	uninfected	15.0	30214	122	3686143
129	LA-29-1	LA-29	2	uninfected	15.0	18750	151	2831250
213	LA-29-1	LA-29	3	uninfected	15.0	2682	211	565976
81	LA-29-11	LA-29	1	uninfected	15.0	4350	165	717750
165	LA-29-11	LA-29	2	uninfected	15.0	6000	99	594000
249	LA-29-11	LA-29	3	uninfected	15.0	5850	180	1053000
21	LA-29-15	LA-29	1	uninfected	15.0	10650	239	2545350
105	LA-29-15	LA-29	2	uninfected	15.0	6150	117	719550
189	LA-29-15	LA-29	3	uninfected	15.0	975	160	156000
69	LA-29-3	LA-29	1	uninfected	15.0	6154	231	1421538
153	LA-29-3	LA-29	2	uninfected	15.0	10275	179	1839225
237	LA-29-3	LA-29	3	uninfected	15.0	450	169	76050
57	LA-29-5	LA-29	1	uninfected	15.0	8169	249	2034000
141	LA-29-5	LA-29	2	uninfected	15.0	12225	146	1784850
225	LA-29-5	LA-29	3	uninfected	15.0	7575	215	1628625
9	LA-29-7	LA-29	1	uninfected	15.0	17925	209	3746325
93	LA-29-7	LA-29	2	uninfected	15.0	2625	206	540750
177	LA-29-7	LA-29	3	uninfected	15.0	2700	213	575100
33	LA-29-9	LA-29	1	uninfected	15.0	17813	126	2244375
117	LA-29-9	LA-29	2	uninfected	15.0	2550	188	479400
201	LA-29-9	LA-29	3	uninfected	15.0	1050	166	174300
47	M-64-1	M-64	1	uninfected	9.0	16125	113	1822125
131	M-64-1	M-64	2	uninfected	9.0	5914	92	544114
215	M-64-1	M-64	3	uninfected	9.0	NA	NA	NA
23	M-64-12	M-64	1	uninfected	9.0	22000	92	2024000
107	M-64-12	M-64	2	uninfected	9.0	4200	85	357000
191	M-64-12	M-64	3	uninfected	9.0	4440	87	386280
83	M-64-13	M-64	1	uninfected	9.0	150	506	75900
167	M-64-13	M-64	2	uninfected	9.0	3900	138	538200
251	M-64-13	M-64	3	uninfected	9.0	2775	97	269175
11	M-64-15	M-64	1	uninfected	9.0	13425	103	1382775
95	M-64-15	M-64	2	uninfected	9.0	8250	115	948750
179	M-64-15	M-64	3	uninfected	9.0	2500	107	267500
35	M-64-2	M-64	1	uninfected	9.0	23640	77	1820280
119	M-64-2	M-64	2	uninfected	9.0	6000	82	492000
203	M-64-2	M-64	3	uninfected	9.0	2880	73	210240
59	M-64-5	M-64	1	uninfected	9.0	5025	210	1055250
143	M-64-5	M-64	2	uninfected	9.0	18844	123	2317781
227	M-64-5	M-64	3	uninfected	9.0	NA	110	NA
71	M-64-6	M-64	1	uninfected	9.0	10200	412	4202400
155	M-64-6	M-64	2	uninfected	9.0	3444	69	237667
239	M-64-6	M-64	3	uninfected	9.0	960	93	89280
44	N-27-10	N-27	1	infected	30.5	17500	213	3727500
128	N-27-10	N-27	2	infected	30.5	18844	196	3693375
212	N-27-10	N-27	3	infected	30.5	3150	288	907200
80	N-27-15	N-27	1	infected	30.5	7286	191	1391571
164	N-27-15	N-27	2	infected	30.5	4050	210	850500
248	N-27-15	N-27	3	infected	30.5	4629	159	735943
56	N-27-2	N-27	1	infected	30.5	16031	247	3959719
140	N-27-2	N-27	2	infected	30.5	6600	143	943800
224	N-27-2	N-27	3	infected	30.5	NA	153	NA
68	N-27-4	N-27	1	infected	30.5	36750	158	5806500
152	N-27-4	N-27	2	infected	30.5	18125	162	2936250
236	N-27-4	N-27	3	infected	30.5	8829	115	1015286
8	N-27-5	N-27	1	infected	30.5	9450	163	1540350
92	N-27-5	N-27	2	infected	30.5	9450	200	1890000
176	N-27-5	N-27	3	infected	30.5	6467	256	1655467
20	N-27-6	N-27	1	infected	30.5	16125	163	2628375
104	N-27-6	N-27	2	infected	30.5	30938	230	7115625
188	N-27-6	N-27	3	infected	30.5	6554	147	963415
32	N-27-7	N-27	1	infected	30.5	16050	163	2616150
116	N-27-7	N-27	2	infected	30.5	24188	143	3458813
200	N-27-7	N-27	3	infected	30.5	1714	163	279429
79	N-41-1	N-41	1	uninfected	19.5	40125	149	5978625
163	N-41-1	N-41	2	uninfected	19.5	49500	188	9306000
247	N-41-1	N-41	3	uninfected	19.5	7725	183	1413675
67	N-41-10	N-41	1	uninfected	19.5	25500	251	6400500
151	N-41-10	N-41	2	uninfected	19.5	38049	187	7115122
235	N-41-10	N-41	3	uninfected	19.5	7950	246	1955700
7	N-41-2	N-41	1	uninfected	19.5	17550	232	4071600
91	N-41-2	N-41	2	uninfected	19.5	19969	203	4053656
175	N-41-2	N-41	3	uninfected	19.5	5925	261	1546425
43	N-41-3	N-41	1	uninfected	19.5	22125	194	4292250
127	N-41-3	N-41	2	uninfected	19.5	21625	180	3892500
211	N-41-3	N-41	3	uninfected	19.5	16406	136	2231250
31	N-41-4	N-41	1	uninfected	19.5	32625	160	5220000
115	N-41-4	N-41	2	uninfected	19.5	34313	203	6965438
199	N-41-4	N-41	3	uninfected	19.5	8267	234	1934400
19	N-41-5	N-41	1	uninfected	19.5	23250	168	3906000
103	N-41-5	N-41	2	uninfected	19.5	10725	181	1941225
187	N-41-5	N-41	3	uninfected	19.5	7800	243	1895400
55	N-41-9	N-41	1	uninfected	19.5	4800	361	1732800
139	N-41-9	N-41	2	uninfected	19.5	29714	161	4784000
223	N-41-9	N-41	3	uninfected	19.5	13219	220	2908125
66	N-62-1	N-62	1	infected	12.5	20125	160	3220000
150	N-62-1	N-62	2	infected	12.5	18281	126	2303438
234	N-62-1	N-62	3	infected	12.5	6075	170	1032750
42	N-62-11	N-62	1	infected	12.5	22750	124	2821000
126	N-62-11	N-62	2	infected	12.5	5400	150	810000
210	N-62-11	N-62	3	infected	12.5	4650	208	967200
18	N-62-15	N-62	1	infected	12.5	22375	188	4206500
102	N-62-15	N-62	2	infected	12.5	11850	191	2263350
186	N-62-15	N-62	3	infected	12.5	4429	163	721857
54	N-62-3	N-62	1	infected	12.5	26286	125	3285714
138	N-62-3	N-62	2	infected	12.5	19875	159	3160125
222	N-62-3	N-62	3	infected	12.5	4933	199	981733
6	N-62-5	N-62	1	infected	12.5	10200	206	2101200
90	N-62-5	N-62	2	infected	12.5	4867	284	1382133
174	N-62-5	N-62	3	infected	12.5	4425	181	800925
78	N-62-6	N-62	1	infected	12.5	8743	107	935486
162	N-62-6	N-62	2	infected	12.5	11837	144	1704578
246	N-62-6	N-62	3	infected	12.5	1725	131	225975
30	N-62-8	N-62	1	infected	12.5	14438	121	1746938
114	N-62-8	N-62	2	infected	12.5	34071	109	3713786
198	N-62-8	N-62	3	infected	12.5	1357	153	207643
4	SK-1-11	SK-1	1	infected	30.5	16800	182	3057600
88	SK-1-11	SK-1	2	infected	30.5	4650	232	1078800
172	SK-1-11	SK-1	3	infected	30.5	4000	173	692000
16	SK-1-14	SK-1	1	infected	30.5	7350	171	1256850
100	SK-1-14	SK-1	2	infected	30.5	9075	203	1842225
184	SK-1-14	SK-1	3	infected	30.5	3075	199	611925
64	SK-1-3	SK-1	1	infected	30.5	6000	142	852000
148	SK-1-3	SK-1	2	infected	30.5	10425	153	1595025
232	SK-1-3	SK-1	3	infected	30.5	600	184	110400
28	SK-1-4	SK-1	1	infected	30.5	9525	195	1857375
112	SK-1-4	SK-1	2	infected	30.5	12525	202	2530050
196	SK-1-4	SK-1	3	infected	30.5	3825	188	719100
52	SK-1-5a	SK-1	1	infected	30.5	6514	140	912000
136	SK-1-5a	SK-1	2	infected	30.5	13114	113	1481914
220	SK-1-5a	SK-1	3	infected	30.5	1629	162	263829
76	SK-1-6a	SK-1	1	infected	30.5	61200	93	5691600
160	SK-1-6a	SK-1	2	infected	30.5	35500	92	3266000
244	SK-1-6a	SK-1	3	infected	30.5	6600	158	1042800
40	SK-1-7	SK-1	1	infected	30.5	8100	175	1417500
124	SK-1-7	SK-1	2	infected	30.5	7371	133	980400
208	SK-1-7	SK-1	3	infected	30.5	375	161	60375
27	SK-16-1	SK-16	1	uninfected	19.5	38063	128	4872000
111	SK-16-1	SK-16	2	uninfected	19.5	22781	160	3645000
195	SK-16-1	SK-16	3	uninfected	19.5	13080	107	1399560
3	SK-16-12	SK-16	1	uninfected	19.5	80250	122	9790500
87	SK-16-12	SK-16	2	uninfected	19.5	15429	156	2406857
171	SK-16-12	SK-16	3	uninfected	19.5	6000	145	870000
63	SK-16-13	SK-16	1	uninfected	19.5	67875	109	7398375
147	SK-16-13	SK-16	2	uninfected	19.5	19750	166	3278500
231	SK-16-13	SK-16	3	uninfected	19.5	5025	156	783900
75	SK-16-14	SK-16	1	uninfected	19.5	8262	113	933639
159	SK-16-14	SK-16	2	uninfected	19.5	12429	139	1727571
243	SK-16-14	SK-16	3	uninfected	19.5	5200	153	795600
39	SK-16-2	SK-16	1	uninfected	19.5	16875	130	2193750
123	SK-16-2	SK-16	2	uninfected	19.5	5775	173	999075
207	SK-16-2	SK-16	3	uninfected	19.5	6690	211	1411517
15	SK-16-3	SK-16	1	uninfected	19.5	34125	135	4606875
99	SK-16-3	SK-16	2	uninfected	19.5	4875	146	711750
183	SK-16-3	SK-16	3	uninfected	19.5	5400	229	1236600
51	SK-16-6	SK-16	1	uninfected	19.5	14156	163	2307469
135	SK-16-6	SK-16	2	uninfected	19.5	10114	146	1476686
219	SK-16-6	SK-16	3	uninfected	19.5	1875	187	350625
29	SK-58-1	SK-58	1	infected	31.0	23875	207	4942125
113	SK-58-1	SK-58	2	infected	31.0	14175	182	2579850
197	SK-58-1	SK-58	3	infected	31.0	7350	184	1352400
41	SK-58-13	SK-58	1	infected	31.0	33167	101	3349833
125	SK-58-13	SK-58	2	infected	31.0	10500	153	1606500
209	SK-58-13	SK-58	3	infected	31.0	2400	181	434400
5	SK-58-15	SK-58	1	infected	31.0	15525	168	2608200
89	SK-58-15	SK-58	2	infected	31.0	16350	209	3417150
173	SK-58-15	SK-58	3	infected	31.0	2486	144	357943
53	SK-58-16	SK-58	1	infected	31.0	6975	246	1715850
137	SK-58-16	SK-58	2	infected	31.0	22000	145	3190000
221	SK-58-16	SK-58	3	infected	31.0	975	247	240825
17	SK-58-5	SK-58	1	infected	31.0	39000	154	6006000
101	SK-58-5	SK-58	2	infected	31.0	10650	193	2055450
185	SK-58-5	SK-58	3	infected	31.0	2025	237	479925
77	SK-58-6	SK-58	1	infected	31.0	13875	179	2483625
161	SK-58-6	SK-58	2	infected	31.0	13875	178	2469750
245	SK-58-6	SK-58	3	infected	31.0	6686	113	755486
65	SK-58-9	SK-58	1	infected	31.0	10500	276	2898000
149	SK-58-9	SK-58	2	infected	31.0	36563	138	5045625
233	SK-58-9	SK-58	3	infected	31.0	2400	261	626400
