Replicate	Clone	population	infection_status	birth_date	maturity_date	age_mat	bodysize_mat	bodysize_mat_mm	headsize_mat	bodyhead_ratio	firstclutch_date	age_firstcl	firstcl_offspr	secondcl_date	age_secondcl	secondcl_offspr	thirdcl_date	age_thirdcl	thirdcl_offspr	bodysize_thirdcl	bodysize_thirdcl_mm	growth_mat_to_thirdcl_mm	Rnaught	tot_offsp_deadexcl	r
1	G-13-10	G-13	infected	22.06.2015	03.07.2015	11	8.2	2.68852459	1.6	5.125	06.07.2015	14	8	09.07.2015	17	19	12.07.2015	20	24	11.3	3.704918033	1.016393443	51	51	0.226412993
2	G-13-10	G-13	infected	23.06.2015	02.07.2015	9	7.8	2.557377049	1.5	5.2	05.07.2015	12	8	08.07.2015	15	17	11.07.2015	18	23	11	3.606557377	1.049180328	48	48	0.253580549
3	G-13-10	G-13	infected	23.06.2015	04.07.2015	11	7.9	2.590163934	1.5	5.266666667	07.07.2015	14	8	10.07.2015	17	15	13.07.2015	20	22	10.7	3.508196721	0.918032787	45	45	0.219645021
4	G-13-10	G-13	infected	23.06.2015	02.07.2015	9	7.2	2.360655738	1.5	4.8	05.07.2015	12	4	08.07.2015	15	11	11.07.2015	18	24	10.5	3.442622951	1.081967213	39	39	0.228986509
5	G-13-10	G-13	infected	21.06.2015	29.06.2015	8	7.9	2.590163934	1.5	5.266666667	02.07.2015	11	12	05.07.2015	14	17	08.07.2015	17	23	10.9	3.573770492	0.983606557	52	52	0.286331459
1	G-2-7	G-2	uninfected	25.06.2015	03.07.2015	8	7.7	2.524590164	1.6	4.8125	06.07.2015	11	6	09.07.2015	14	13	12.07.2015	17	21	10.9	3.573770492	1.049180328	40	40	0.255305554
2	G-2-7	G-2	uninfected	22.06.2015	30.06.2015	8	7.4	2.426229508	1.5	4.933333333	03.07.2015	11	6	06.07.2015	14	12	09.07.2015	17	15	10.3	3.37704918	0.950819672	33	33	0.246963432
3	G-2-7	G-2	uninfected	25.06.2015	03.07.2015	8	7.5	2.459016393	1.6	4.6875	06.07.2015	11	6	09.07.2015	14	21	12.07.2015	17	21	10.5	3.442622951	0.983606557	48	48	0.270022336
4	G-2-7	G-2	uninfected	22.06.2015	30.06.2015	8	7.4	2.426229508	1.5	4.933333333	03.07.2015	11	10	06.07.2015	14	15	09.07.2015	17	11	10	3.278688525	0.852459016	36	36	0.267374718
5	G-2-7	G-2	uninfected	22.06.2015	30.06.2015	8	7.6	2.491803279	1.5	5.066666667	03.07.2015	11	8	06.07.2015	14	16	09.07.2015	17	12	10.3	3.37704918	0.885245902	36	36	0.261709024
1	G-2-10	G-2	uninfected	22.06.2015	30.06.2015	8	7.2	2.360655738	1.4	5.142857143	03.07.2015	11	8	06.07.2015	14	12	09.07.2015	17	15	10.3	3.37704918	1.016393443	35	35	0.256390511
2	G-2-10	G-2	uninfected	29.06.2015	12.07.2015	13	7.7	2.524590164	1.5	5.133333333	14.07.2015	15	7	17.07.2015	18	17	20.07.2015	21	22	10.7	3.508196721	0.983606557	46	46	0.207449689
3	G-2-10	G-2	uninfected	23.06.2015	02.07.2015	9	6.9	2.262295082	1.4	4.928571429	04.07.2015	11	5	07.07.2015	14	12	11.07.2015	18	21	10.1	3.31147541	1.049180328	38	38	0.243675703
4	G-2-10	G-2	uninfected	26.06.2015	03.07.2015	7	6.9	2.262295082	1.4	4.928571429	06.07.2015	10	9	09.07.2015	13	13	12.07.2015	16	21	10.7	3.508196721	1.245901639	43	43	0.289809821
5	G-2-10	G-2	uninfected	27.06.2015	06.07.2015	9	7.1	2.327868852	1.5	4.733333333	09.07.2015	12	7	13.07.2015	16	17	16.07.2015	19	22	10.6	3.475409836	1.147540984	46	46	0.239234566
1	G-2-3	G-2	uninfected	24.06.2015	07.07.2015	13	8.1	2.655737705	1.6	5.0625	10.07.2015	16	8	13.07.2015	19	17	16.07.2015	22	16	10.7	3.508196721	0.852459016	41	41	0.194499704
2	G-2-3	G-2	uninfected	23.06.2015	02.07.2015	9	7.3	2.393442623	1.5	4.866666667	05.07.2015	12	6	08.07.2015	15	11	11.07.2015	18	18	10.6	3.475409836	1.081967213	35	35	0.23104906
3	G-2-3	G-2	uninfected	25.06.2015	03.07.2015	8	7.6	2.491803279	1.6	4.75	06.07.2015	11	7	09.07.2015	14	17	12.07.2015	17	28	10.6	3.475409836	0.983606557	52	52	0.272243486
4	G-2-3	G-2	uninfected	22.06.2015	30.06.2015	8	8.5	2.786885246	1.6	5.3125	03.07.2015	11	11	06.07.2015	14	21	09.07.2015	17	22	10.9	3.573770492	0.786885246	54	54	0.287997037
5	G-2-3	G-2	uninfected	24.06.2015	03.07.2015	9	7.8	2.557377049	1.5	5.2	06.07.2015	12	9	09.07.2015	15	13	12.07.2015	18	22	10.7	3.508196721	0.950819672	44	44	0.249875637
1	G-2-4	G-2	uninfected	25.06.2015	03.07.2015	8	7.7	2.524590164	1.5	5.133333333	06.07.2015	11	11	09.07.2015	14	16	12.07.2015	17	23	10.8	3.540983607	1.016393443	50	50	0.281514359
2	G-2-4	G-2	uninfected	25.06.2015	03.07.2015	8	7.6	2.491803279	1.5	5.066666667	06.07.2015	11	6	09.07.2015	14	16	13.07.2015	18	23	10.6	3.475409836	0.983606557	45	45	0.258321813
3	G-2-4	G-2	uninfected	25.06.2015	04.07.2015	9	7.9	2.590163934	1.6	4.9375	07.07.2015	12	5	10.07.2015	15	17	13.07.2015	18	16	10.5	3.442622951	0.852459016	38	38	0.237097941
4	G-2-4	G-2	uninfected	25.06.2015	03.07.2015	8	7.8	2.557377049	1.5	5.2	06.07.2015	11	9	09.07.2015	14	16	12.07.2015	17	24	11	3.606557377	1.049180328	49	49	0.275097891
5	G-2-4	G-2	uninfected	23.06.2015	01.07.2015	8	7.5	2.459016393	1.5	5	04.07.2015	11	8	07.07.2015	14	15	10.07.2015	17	19	10.6	3.475409836	1.016393443	42	42	0.265806592
1	G-2-2	G-2	uninfected	25.06.2015	04.07.2015	9	7.2	2.360655738	1.5	4.8	07.07.2015	12	5	10.07.2015	15	16	13.07.2015	18	20	10.3	3.37704918	1.016393443	41	41	0.238911565
2	G-2-2	G-2	uninfected	22.06.2015	01.07.2015	9	7.5	2.459016393	1.5	5	04.07.2015	12	5	07.07.2015	15	8	10.07.2015	18	20	11	3.606557377	1.147540984	33	33	0.222163883
3	G-2-2	G-2	uninfected	22.06.2015	01.07.2015	9	7.2	2.360655738	1.4	5.142857143	04.07.2015	12	7	07.07.2015	15	11	10.07.2015	18	18	10.4	3.409836066	1.049180328	36	36	0.235216688
4	G-2-2	G-2	uninfected	22.06.2015	30.06.2015	8	7.6	2.491803279	1.5	5.066666667	03.07.2015	11	9	07.07.2015	15	16	10.07.2015	18	18	10.6	3.475409836	0.983606557	43	43	0.260467883
5	G-2-2	G-2	uninfected	23.06.2015	30.06.2015	7	7.3	2.393442623	1.4	5.214285714	03.07.2015	10	9	06.07.2015	13	18	10.07.2015	17	17	10.6	3.475409836	1.081967213	44	44	0.292698494
1	G-2-19	G-2	uninfected	23.06.2015	01.07.2015	8	7.7	2.524590164	1.5	5.133333333	04.07.2015	11	8	08.07.2015	15	13	11.07.2015	18	23	10.6	3.475409836	0.950819672	44	44	0.255087817
2	G-2-19	G-2	uninfected	20.06.2015	28.06.2015	8	7.5	2.459016393	1.7	4.411764706	01.07.2015	11	13	04.07.2015	14	22	08.07.2015	18	23	10.7	3.508196721	1.049180328	58	58	0.292966007
3	G-2-19	G-2	uninfected	23.06.2015	02.07.2015	9	8.1	2.655737705	1.6	5.0625	05.07.2015	12	8	09.07.2015	16	11	12.07.2015	19	19	10.8	3.540983607	0.885245902	38	38	0.231621849
4	G-2-19	G-2	uninfected	25.06.2015	03.07.2015	8	7.7	2.524590164	1.5	5.133333333	06.07.2015	11	8	09.07.2015	14	21	12.07.2015	17	27	10.8	3.540983607	1.016393443	56	56	0.281139309
5	G-2-19	G-2	uninfected	24.06.2015	03.07.2015	9	7.9	2.590163934	1.6	4.9375	06.07.2015	12	3	09.07.2015	15	19	12.07.2015	18	20	10.9	3.573770492	0.983606557	42	42	0.236894156
1	SK-16-12	SK-16	uninfected	27.06.2015	07.07.2015	10	7.3	2.393442623	1.4	5.214285714	10.07.2015	13	11	13.07.2015	16	3	16.07.2015	19	23	10.2	3.344262295	0.950819672	37	37	0.224488284
2	SK-16-12	SK-16	uninfected	25.06.2015	07.07.2015	12	7.6	2.491803279	1.5	5.066666667	10.07.2015	15	11	13.07.2015	18	16	16.07.2015	21	22	10	3.278688525	0.786885246	49	49	0.215673987
3	SK-16-12	SK-16	uninfected	25.06.2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	SK-16-12	SK-16	uninfected	28.06.2015	11.07.2015	13	7.1	2.327868852	1.3	5.461538462	14.07.2015	16	6	17.07.2015	19	12	20.07.2015	22	21	10.3	3.37704918	1.049180328	39	39	0.18636746
5	SK-16-12	SK-16	uninfected	23.06.2015	09.07.2015	16	6.9	2.262295082	1.5	4.6	12.07.2015	19	8	15.07.2015	22	12	18.07.2015	25	23	10.2	3.344262295	1.081967213	43	43	0.166688321
1	SK-16-3	SK-16	uninfected	24.06.2015	03.07.2015	9	6.7	2.196721311	1.4	4.785714286	06.07.2015	12	6	09.07.2015	15	16	12.07.2015	18	20	10.4	3.409836066	1.213114754	42	42	0.242651119
2	SK-16-3	SK-16	uninfected	23.06.2015	30.06.2015	7	7.9	2.590163934	1.5	5.266666667	03.07.2015	10	13	07.07.2015	14	19	10.07.2015	17	32	10.4	3.409836066	0.819672131	64	64	0.30982936
3	SK-16-3	SK-16	uninfected	22.06.2015	01.07.2015	9	7.6	2.491803279	1.4	5.428571429	04.07.2015	12	11	07.07.2015	15	17	10.07.2015	18	28	10.5	3.442622951	0.950819672	56	56	0.265978776
4	SK-16-3	SK-16	uninfected	21.06.2015	28.06.2015	7	6.7	2.196721311	1.1	6.090909091	01.07.2015	10	9	04.07.2015	13	21	07.07.2015	16	20	10.4	3.409836066	1.213114754	50	50	0.303044608
5	SK-16-3	SK-16	uninfected	20.06.2015	28.06.2015	8	7.7	2.524590164	1.4	5.5	01.07.2015	11	12	04.07.2015	14	25	07.07.2015	17	27	10.6	3.475409836	0.950819672	64	64	0.298626856
1	SK-16-1	SK-16	uninfected	23.06.2015	03.07.2015	10	7.7	2.524590164	1.4	5.5	06.07.2015	13	15	09.07.2015	16	20	12.07.2015	19	27	10.3	3.37704918	0.852459016	62	62	0.261056463
2	SK-16-1	SK-16	uninfected	26.06.2015	03.07.2015	7	7.7	2.524590164	1.4	5.5	06.07.2015	10	10	10.07.2015	14	9	14.07.2015	18	16	9.3	3.049180328	0.524590164	35	35	0.270124128
3	SK-16-1	SK-16	uninfected	26.06.2015	06.07.2015	10	7.1	2.327868852	1.4	5.071428571	09.07.2015	13	9	12.07.2015	16	16	15.07.2015	19	28	10.3	3.37704918	1.049180328	53	53	0.242146273
4	SK-16-1	SK-16	uninfected	25.06.2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	SK-16-1	SK-16	uninfected	24.06.2015	06.07.2015	12	7.6	2.491803279	1.4	5.428571429	08.07.2015	14	9	11.07.2015	17	15	14.07.2015	20	23	10.6	3.475409836	0.983606557	47	47	0.223069209
1	SK-16-6	SK-16	uninfected	26.06.2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	SK-16-6	SK-16	uninfected	26.06.2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	SK-16-6	SK-16	uninfected	26.06.2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	SK-16-6	SK-16	uninfected	29.06.2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	SK-16-6	SK-16	uninfected	27.06.2015	05.07.2015	8	7.2	2.360655738	1.4	5.142857143	08.07.2015	11	8	12.07.2015	15	3	DEAD	NA	NA	NA	NA	NA	11	NA	0.203037981
1	SK-16-13	SK-16	uninfected	25.06.2015	06.07.2015	11	6.6	2.163934426	1.2	5.5	09.07.2015	14	2	12.07.2015	17	13	15.07.2015	20	14	9.2	3.016393443	0.852459016	29	29	0.188106699
2	SK-16-13	SK-16	uninfected	23.06.2015	02.07.2015	9	7	2.295081967	1.3	5.384615385	05.07.2015	12	7	08.07.2015	15	19	11.07.2015	18	21	10	3.278688525	0.983606557	47	47	0.251925978
3	SK-16-13	SK-16	uninfected	24.06.2015	06.07.2015	12	7.4	2.426229508	1.2	6.166666667	10.07.2015	16	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.043321699
4	SK-16-13	SK-16	uninfected	26.06.2015	07.07.2015	11	6.5	2.131147541	1.4	4.642857143	10.07.2015	14	2	13.07.2015	17	8	16.07.2015	20	4	9.6	3.147540984	1.016393443	14	14	0.153940684
5	SK-16-13	SK-16	uninfected	19.06.2015	26.06.2015	7	7.1	2.327868852	1.1	6.454545455	29.06.2015	10	9	02.07.2015	13	19	05.07.2015	16	27	10.2	3.344262295	1.016393443	55	55	0.304327662
1	SK-16-14	SK-16	uninfected	25.06.2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	SK-16-14	SK-16	uninfected	22.06.2015	03.07.2015	11	7.5	2.459016393	1.4	5.357142857	06.07.2015	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2.50E-09
3	SK-16-14	SK-16	uninfected	21.06.2015	30.06.2015	9	7.5	2.459016393	1.3	5.769230769	03.07.2015	12	8	06.07.2015	15	17	10.07.2015	19	20	10	3.278688525	0.819672131	45	45	0.247978228
4	SK-16-14	SK-16	uninfected	24.06.2015	08.07.2015	14	7.7	2.524590164	1.4	5.5	11.07.2015	17	2	13.07.2015	19	3	17.07.2015	23	7	10.5	3.442622951	0.918032787	12	12	0.120489335
5	SK-16-14	SK-16	uninfected	21.06.2015	30.06.2015	9	7.4	2.426229508	1.3	5.692307692	03.07.2015	12	6	06.07.2015	15	7	09.07.2015	18	17	10.1	3.31147541	0.885245902	30	30	0.220705907
1	SK-1-11	SK-1	infected	26.06.2015	05.07.2015	9	7.1	2.327868852	1.4	5.071428571	08.07.2015	12	4	11.07.2015	15	11	15.07.2015	19	16	10.2	3.344262295	1.016393443	31	31	0.215628756
2	SK-1-11	SK-1	infected	23.06.2015	04.07.2015	11	7.6	2.491803279	1.4	5.428571429	07.07.2015	14	8	10.07.2015	17	13	14.07.2015	21	22	10.6	3.475409836	0.983606557	43	43	0.213264141
3	SK-1-11	SK-1	infected	26.06.2015	04.07.2015	8	7.1	2.327868852	1.3	5.461538462	08.07.2015	12	1	11.07.2015	15	6	14.07.2015	18	17	10.2	3.344262295	1.016393443	24	24	0.19033306
4	SK-1-11	SK-1	infected	27.06.2015	08.07.2015	11	7.9	2.590163934	1.4	5.642857143	11.07.2015	14	8	14.07.2015	17	18	18.07.2015	21	25	11.2	3.672131148	1.081967213	51	51	0.222412945
5	SK-1-11	SK-1	infected	27.06.2015	13.07.2015	16	9.3	3.049180328	1.7	5.470588235	16.07.2015	19	16	19.07.2015	22	33	22.07.2015	25	6	11.7	3.836065574	0.786885246	55	55	0.189498029
1	SK-1-14	SK-1	infected	28.06.2015	06.07.2015	8	7.1	2.327868852	1.4	5.071428571	09.07.2015	11	4	13.07.2015	15	12	16.07.2015	18	18	10.6	3.475409836	1.147540984	34	34	0.229046765
2	SK-1-14	SK-1	infected	27.06.2015	05.07.2015	8	7.1	2.327868852	1.4	5.071428571	08.07.2015	11	3	11.07.2015	14	15	15.07.2015	18	21	10.9	3.573770492	1.245901639	39	39	0.240989093
3	SK-1-14	SK-1	infected	23.06.2015	01.07.2015	8	7.1	2.327868852	1.5	4.733333333	04.07.2015	11	6	07.07.2015	14	12	11.07.2015	18	19	10.6	3.475409836	1.147540984	37	37	0.246790264
4	SK-1-14	SK-1	infected	25.06.2015	03.07.2015	8	7.1	2.327868852	1.5	4.733333333	06.07.2015	11	6	09.07.2015	14	13	12.07.2015	17	21	10.9	3.573770492	1.245901639	40	40	0.255305554
5	SK-1-14	SK-1	infected	24.06.2015	04.07.2015	10	7.9	2.590163934	1.5	5.266666667	08.07.2015	14	8	11.07.2015	17	17	14.07.2015	20	19	11.2	3.672131148	1.081967213	44	44	0.220286298
1	SK-1-4	SK-1	infected	24.06.2015	04.07.2015	10	7.3	2.393442623	1.4	5.214285714	07.07.2015	13	6	10.07.2015	16	12	13.07.2015	19	17	10.4	3.409836066	1.016393443	35	35	0.217333377
2	SK-1-4	SK-1	infected	24.06.2015	02.07.2015	8	7.5	2.459016393	1.4	5.357142857	04.07.2015	10	9	07.07.2015	13	14	10.07.2015	16	21	10.2	3.344262295	0.885245902	44	44	0.291692245
3	SK-1-4	SK-1	infected	24.06.2015	06.07.2015	12	8	2.62295082	1.6	5	09.07.2015	15	5	13.07.2015	19	14	16.07.2015	22	19	11.3	3.704918033	1.081967213	38	38	0.187741389
4	SK-1-4	SK-1	infected	24.06.2015	03.07.2015	9	7.6	2.491803279	1.5	5.066666667	06.07.2015	12	6	10.07.2015	16	10	DEAD	NA	NA	NA	NA	NA	16	NA	0.196409291
5	SK-1-4	SK-1	infected	22.06.2015	30.06.2015	8	8.1	2.655737705	1.6	5.0625	03.07.2015	11	9	07.07.2015	15	15	10.07.2015	18	20	10.5	3.442622951	0.786885246	44	44	0.260341991
1	SK-1-7	SK-1	infected	23.06.2015	02.07.2015	9	7.4	2.426229508	1.5	4.933333333	05.07.2015	12	7	08.07.2015	15	12	12.07.2015	19	23	10.8	3.540983607	1.114754098	42	42	0.237341447
2	SK-1-7	SK-1	infected	28.06.2015	06.07.2015	8	7.5	2.459016393	1.5	5	09.07.2015	11	8	12.07.2015	14	16	15.07.2015	17	18	11	3.606557377	1.147540984	42	42	0.266799522
3	SK-1-7	SK-1	infected	27.06.2015	05.07.2015	8	7.5	2.459016393	1.6	4.6875	08.07.2015	11	7	11.07.2015	14	16	15.07.2015	18	22	11	3.606557377	1.147540984	45	45	0.261817408
4	SK-1-7	SK-1	infected	22.06.2015	30.06.2015	8	9.4	3.081967213	1.8	5.222222222	04.07.2015	12	12	07.07.2015	15	20	10.07.2015	18	27	11.9	3.901639344	0.819672131	59	59	0.271918054
5	SK-1-7	SK-1	infected	22.06.2015	30.06.2015	8	8	2.62295082	1.5	5.333333333	03.07.2015	11	10	06.07.2015	14	19	10.07.2015	18	25	11	3.606557377	0.983606557	54	54	0.2798806
1	SK-1-5a	SK-1	infected	23.06.2015	30.06.2015	7	7.5	2.459016393	1.5	5	03.07.2015	10	4	07.07.2015	14	14	10.07.2015	17	13	10.6	3.475409836	1.016393443	31	31	0.24503612
2	SK-1-5a	SK-1	infected	27.06.2015	06.07.2015	9	7.3	2.393442623	1.5	4.866666667	10.07.2015	13	5	13.07.2015	16	13	16.07.2015	19	20	10.4	3.409836066	1.016393443	38	38	0.218558314
3	SK-1-5a	SK-1	infected	27.06.2015	05.07.2015	8	7.1	2.327868852	1.5	4.733333333	08.07.2015	11	2	11.07.2015	14	8	14.07.2015	17	22	10.2	3.344262295	1.016393443	32	32	0.224405092
4	SK-1-5a	SK-1	infected	26.06.2015	04.07.2015	8	6.7	2.196721311	1.4	4.785714286	10.07.2015	14	8	14.07.2015	18	15	17.07.2015	21	18	10.5	3.442622951	1.245901639	41	41	0.209052065
5	SK-1-5a	SK-1	infected	23.06.2015	01.07.2015	8	6.9	2.262295082	1.4	4.928571429	04.07.2015	11	2	07.07.2015	14	2	10.07.2015	17	18	10.1	3.31147541	1.049180328	22	22	0.196209027
1	SK-1-3	SK-1	infected	28.06.2015	06.07.2015	8	7.6	2.491803279	1.5	5.066666667	09.07.2015	11	8	12.07.2015	14	15	15.07.2015	17	23	10.8	3.540983607	1.049180328	46	46	0.268974184
2	SK-1-3	SK-1	infected	26.06.2015	03.07.2015	7	7.1	2.327868852	1.5	4.733333333	06.07.2015	10	6	10.07.2015	14	13	13.07.2015	17	17	10.8	3.540983607	1.213114754	36	36	0.259334638
3	SK-1-3	SK-1	infected	26.06.2015	03.07.2015	7	8.1	2.655737705	1.6	5.0625	06.07.2015	10	13	09.07.2015	13	14	13.07.2015	17	20	11.2	3.672131148	1.016393443	47	47	0.304412936
4	SK-1-3	SK-1	infected	24.06.2015	02.07.2015	8	7.2	2.360655738	1.4	5.142857143	05.07.2015	11	6	08.07.2015	14	13	11.07.2015	17	20	10.2	3.344262295	0.983606557	39	39	0.254347581
